"user_id","time","position_latent"
"18113","b27b3a5e-1569-11eb-90e4-ac7289d091ca","B"
"5179","cbd93c80-1569-11eb-90e4-ac7289d091ca","A"
"13249","9f684e98-1569-11eb-90e4-ac7289d091ca","A"
"412","c2a68d0c-1569-11eb-90e4-ac7289d091ca","C"
"2285","bc1e43f8-1569-11eb-90e4-ac7289d091ca","B"
"5063","be1dbd64-1569-11eb-90e4-ac7289d091ca","B"
"13056","a0444b3c-1569-11eb-90e4-ac7289d091ca","D"
"14060","b6de53ba-1569-11eb-90e4-ac7289d091ca","E"
"2653","bfa46084-1569-11eb-90e4-ac7289d091ca","D"
"11987","b49461ee-1569-11eb-90e4-ac7289d091ca","A"
"3668","a1ef7d12-1569-11eb-90e4-ac7289d091ca","F"
"16447","bebda572-1569-11eb-90e4-ac7289d091ca","F"
"11575","b06218fa-1569-11eb-90e4-ac7289d091ca","B"
"2931","b1cb77ae-1569-11eb-90e4-ac7289d091ca","A"
"13","a8d94a36-1569-11eb-90e4-ac7289d091ca","B"
"10139","c38d7cc6-1569-11eb-90e4-ac7289d091ca","F"
"4988","b9d31e2a-1569-11eb-90e4-ac7289d091ca","C"
"17780","a99cda8c-1569-11eb-90e4-ac7289d091ca","A"
"6210","a48384f6-1569-11eb-90e4-ac7289d091ca","A"
"6567","9b373adc-1569-11eb-90e4-ac7289d091ca","D"
"1157","be731b56-1569-11eb-90e4-ac7289d091ca","A"
"5501","b19f654c-1569-11eb-90e4-ac7289d091ca","D"
"14233","a83ab33a-1569-11eb-90e4-ac7289d091ca","F"
"4348","bba301a2-1569-11eb-90e4-ac7289d091ca","A"
"4969","b41ed906-1569-11eb-90e4-ac7289d091ca","E"
"15828","b3a640c2-1569-11eb-90e4-ac7289d091ca","E"
"4907","a5e4492a-1569-11eb-90e4-ac7289d091ca","F"
"11138","c8e46202-1569-11eb-90e4-ac7289d091ca","E"
"19972","c0fa222a-1569-11eb-90e4-ac7289d091ca","B"
"9299","b9850a14-1569-11eb-90e4-ac7289d091ca","A"
"11609","bfd52a48-1569-11eb-90e4-ac7289d091ca","A"
"13883","a816da78-1569-11eb-90e4-ac7289d091ca","A"
"18340","ac18a534-1569-11eb-90e4-ac7289d091ca","D"
"12104","c344274c-1569-11eb-90e4-ac7289d091ca","B"
"10572","b13deb5a-1569-11eb-90e4-ac7289d091ca","E"
"3801","ade74e24-1569-11eb-90e4-ac7289d091ca","C"
"1220","ca099ca6-1569-11eb-90e4-ac7289d091ca","C"
"1157","9d68dfa4-1569-11eb-90e4-ac7289d091ca","C"
"11687","ad6d3f4e-1569-11eb-90e4-ac7289d091ca","E"
"12827","b70f1040-1569-11eb-90e4-ac7289d091ca","D"
"11502","a4a730ea-1569-11eb-90e4-ac7289d091ca","A"
"15937","bf11dcdc-1569-11eb-90e4-ac7289d091ca","A"
"9105","9d1fbeb4-1569-11eb-90e4-ac7289d091ca","C"
"13289","c2820bc6-1569-11eb-90e4-ac7289d091ca","E"
"8980","b2d06b14-1569-11eb-90e4-ac7289d091ca","A"
"7302","c41faa92-1569-11eb-90e4-ac7289d091ca","A"
"7230","b37f30e0-1569-11eb-90e4-ac7289d091ca","E"
"1989","b43f9d26-1569-11eb-90e4-ac7289d091ca","E"
"15047","abc1f7c0-1569-11eb-90e4-ac7289d091ca","F"
"19443","ac918ec2-1569-11eb-90e4-ac7289d091ca","F"
"8847","c0c94d8a-1569-11eb-90e4-ac7289d091ca","B"
"2541","cc53941c-1569-11eb-90e4-ac7289d091ca","E"
"5381","ba4d2dbe-1569-11eb-90e4-ac7289d091ca","C"
"1690","b8eba072-1569-11eb-90e4-ac7289d091ca","B"
"8440","c2ca12f4-1569-11eb-90e4-ac7289d091ca","E"
"1658","a0751af0-1569-11eb-90e4-ac7289d091ca","C"
"4938","9e7477a0-1569-11eb-90e4-ac7289d091ca","C"
"12374","c776399a-1569-11eb-90e4-ac7289d091ca","A"
"13184","a89040c0-1569-11eb-90e4-ac7289d091ca","D"
"9939","cc0a41d6-1569-11eb-90e4-ac7289d091ca","C"
"11340","9c440bc6-1569-11eb-90e4-ac7289d091ca","F"
"10009","b8c63ad0-1569-11eb-90e4-ac7289d091ca","A"
"3597","ab233f18-1569-11eb-90e4-ac7289d091ca","B"
"17631","9f06aa1c-1569-11eb-90e4-ac7289d091ca","C"
"17849","c4d6f012-1569-11eb-90e4-ac7289d091ca","E"
"5863","af6dd876-1569-11eb-90e4-ac7289d091ca","B"
"9638","a2be8f80-1569-11eb-90e4-ac7289d091ca","A"
"617","a3082fb4-1569-11eb-90e4-ac7289d091ca","C"
"16471","b2198dcc-1569-11eb-90e4-ac7289d091ca","C"
"16110","b57c475c-1569-11eb-90e4-ac7289d091ca","F"
"3900","c7a7adcc-1569-11eb-90e4-ac7289d091ca","F"
"19748","ba1c85a6-1569-11eb-90e4-ac7289d091ca","B"
"9853","c1bd4b9c-1569-11eb-90e4-ac7289d091ca","B"
"19568","cacd5844-1569-11eb-90e4-ac7289d091ca","C"
"4754","c5a67d5a-1569-11eb-90e4-ac7289d091ca","C"
"8936","c5fbee66-1569-11eb-90e4-ac7289d091ca","B"
"9418","9e07c9ac-1569-11eb-90e4-ac7289d091ca","D"
"4446","bbec98a8-1569-11eb-90e4-ac7289d091ca","A"
"3441","bf42b906-1569-11eb-90e4-ac7289d091ca","C"
"16951","b1f51c76-1569-11eb-90e4-ac7289d091ca","B"
"10878","a2e38e0c-1569-11eb-90e4-ac7289d091ca","A"
"19396","a6c1ab3a-1569-11eb-90e4-ac7289d091ca","D"
"16533","aff42db8-1569-11eb-90e4-ac7289d091ca","B"
"6779","9c11cbe8-1569-11eb-90e4-ac7289d091ca","C"
"15167","c31f8388-1569-11eb-90e4-ac7289d091ca","B"
"9316","a199dda8-1569-11eb-90e4-ac7289d091ca","B"
"3776","b5d1ce34-1569-11eb-90e4-ac7289d091ca","B"
"16019","acc27046-1569-11eb-90e4-ac7289d091ca","B"
"5988","a690ad14-1569-11eb-90e4-ac7289d091ca","A"
"6559","b9f78fc6-1569-11eb-90e4-ac7289d091ca","E"
"15611","bbc78cca-1569-11eb-90e4-ac7289d091ca","F"
"19113","bf73965c-1569-11eb-90e4-ac7289d091ca","E"
"10835","a860728c-1569-11eb-90e4-ac7289d091ca","B"
"12592","b4c5318e-1569-11eb-90e4-ac7289d091ca","F"
"16390","9ae8188a-1569-11eb-90e4-ac7289d091ca","F"
"142","c3be3a0a-1569-11eb-90e4-ac7289d091ca","C"
"1762","b9602ed8-1569-11eb-90e4-ac7289d091ca","C"
"19581","adc2afba-1569-11eb-90e4-ac7289d091ca","E"
"14275","bc663e7e-1569-11eb-90e4-ac7289d091ca","E"
